geometry/coordinates/0,geometry/coordinates/1,geometry/type,properties/date,properties/google_maps_url,properties/location/address,properties/location/country_code,properties/location/name,type,properties/Comment
-119.2706698,34.2780433,Point,2024-12-29T21:49:25Z,http://maps.google.com/?cid=13271414400602388871,"1972 E Main St, Ventura, CA 93001, United States",US,Dexter's Camera,Feature,
-117.604215,33.450426,Point,2024-12-29T21:49:18Z,http://maps.google.com/?cid=2862467087802972139,"946 Calle Amanecer, San Clemente, CA 92673, United States",,The Darkroom,Feature,
-117.8842916,33.7031401,Point,2024-12-29T21:49:11Z,http://maps.google.com/?cid=4633291251510937330,"3309b S Bristol St, Santa Ana, CA 92704, United States",US,Samy's Camera,Feature,
-118.3615862,34.0689461,Point,2024-12-29T21:49:03Z,http://maps.google.com/?cid=196871451621336496,"431 S Fairfax Ave, Los Angeles, CA 90036, United States",US,Samy's Camera,Feature,
-118.1142502,34.146286,Point,2024-12-29T21:48:58Z,http://maps.google.com/?cid=7208724139641462907,"1759 E Colorado Blvd, Pasadena, CA 91106, United States",US,Samy's Camera,Feature,
-122.7532951,45.5898435,Point,2024-12-29T21:48:51Z,http://maps.google.com/?cid=7765282995637006057,"8417 N Lombard St, Portland, OR 97203, United States",US,Blue Moon Camera & Machine,Feature,
-117.8594027,33.6951035,Point,2024-12-29T21:48:45Z,http://maps.google.com/?cid=13236320922544923198,"17671 Fitch, Irvine, CA 92614, United States",,Pro Photo Connection,Feature,
-111.7276236,40.2936618,Point,2024-12-29T21:48:40Z,http://maps.google.com/?cid=11472213010925195115,"170 Mountain Way Dr #107, Orem, UT 84058, United States",,theFINDlab,Feature,
-118.3072663,34.0985292,Point,2024-12-29T21:48:34Z,http://maps.google.com/?cid=15909673153430904615,"5401 Sunset Blvd, Los Angeles, CA 90027, United States",US,Freestyle Photo & Imaging Supplies,Feature,
-118.244856,34.0617822,Point,2024-12-29T21:48:30Z,http://maps.google.com/?cid=8758624270017087814,"811 W Cesar Estrada Chavez Ave, Los Angeles, CA 90012, United States",,Walters Camera Video & Digital,Feature,
-118.2281847,34.2062656,Point,2024-12-29T21:48:27Z,http://maps.google.com/?cid=10018620205512278016,"3817 Ocean View Blvd, Montrose, CA 91020, United States",,Camera Max,Feature,
-118.104671,34.145852,Point,2024-12-29T21:48:21Z,http://maps.google.com/?cid=9986219574315520434,"2218 E Colorado Blvd, Pasadena, CA 91107, United States",,General Camera Repair,Feature,
-120.6594613,35.2806102,Point,2024-12-29T21:48:17Z,http://maps.google.com/?cid=9673165456278505790,"1027 Marsh St, San Luis Obispo, CA 93401, United States",US,The Photo Shop,Feature,
-122.4051902,37.790426,Point,2024-12-29T21:48:11Z,http://maps.google.com/?cid=18060968957109185440,"463 Bush St, San Francisco, CA 94108, United States",US,Leica Store San Francisco,Feature,
-122.420702,37.7878097,Point,2024-12-29T21:48:07Z,http://maps.google.com/?cid=14484999023192461875,"1230 Sutter St, San Francisco, CA 94109, United States",US,Glass Key Photo,Feature,
-115.2016125,36.1436841,Point,2024-12-29T21:48:02Z,http://maps.google.com/?cid=968312598870792624,"4511 W Sahara Ave, Las Vegas, NV 89102, United States",US,B&C Camera,Feature,
-111.9475774,33.4221492,Point,2024-12-29T21:47:56Z,http://maps.google.com/?cid=15315815168921235668,"606 W University Dr, Tempe, AZ 85281, United States",US,Tempe Camera Repair Inc,Feature,
-110.9712461,32.2650644,Point,2024-12-29T21:47:52Z,http://maps.google.com/?cid=17221469627684527107,"15 E Fort Lowell Rd, Tucson, AZ 85705, United States",US,Monument Camera,Feature,
-110.9789273,32.2763572,Point,2024-12-29T21:47:47Z,http://maps.google.com/?cid=5567893878175378844,"3813 N Oracle Rd, Tucson, AZ 85705, United States",,Tucson Camera Repair,Feature,
-111.6625092,40.2383442,Point,2024-12-29T21:47:43Z,http://maps.google.com/?cid=759406668676720065,"333 Freedom Blvd 200 W, Provo, UT 84601, United States",US,Allen's Camera,Feature,
-111.699631,40.308718,Point,2024-12-29T21:47:39Z,http://maps.google.com/?cid=1728563161298196332,"626 N State St, Orem, UT 84057, United States",US,Allen's Camera,Feature,
-111.9005485,40.7394717,Point,2024-12-29T21:47:36Z,http://maps.google.com/?cid=14365512256070579053,"1388 S 300 W suite 500, Salt Lake City, UT 84115, United States",US,Acme Camera Co.,Feature,
-122.2510355,47.760565,Point,2024-12-29T21:47:32Z,http://maps.google.com/?cid=13576953612584821782,"6708 NE 181st St, Kenmore, WA 98028, United States",US,Kenmore Camera,Feature,
-122.2956907,47.7179318,Point,2024-12-29T21:47:28Z,http://maps.google.com/?cid=15053711140047960667,"12316 Lake City Way NE, Seattle, WA 98125, United States",US,Shot On Film Store,Feature,
-122.3427736,47.6237302,Point,2024-12-29T21:47:24Z,http://maps.google.com/?cid=14656255906757039305,"517 Dexter Ave N, Seattle, WA 98109, United States",,Glazer's Camera Rentals,Feature,
-122.1924979,47.6165641,Point,2024-12-29T21:47:19Z,http://maps.google.com/?cid=15533052429172069224,"The Shops At The Bravern, 11111 NE 8th St Suite 130, Bellevue, WA 98004, United States",US,Leica Store Bellevue,Feature,
-97.1367242,33.2151317,Point,2024-12-29T21:47:14Z,http://maps.google.com/?cid=11495427338461140049,"117 Piner St, Denton, TX 76201, United States",US,Denton Camera Exchange,Feature,
-97.1131204,32.7480256,Point,2024-12-29T21:47:07Z,http://maps.google.com/?cid=6451091049141595151,"544 W Randol Mill Rd, Arlington, TX 76011, United States",US,Arlington Camera,Feature,
-97.7322708,30.3579301,Point,2024-12-29T21:47:03Z,http://maps.google.com/?cid=17879805742273814260,"2438 W Anderson Ln., Austin, TX 78757, United States",US,Precision Camera and Video,Feature,
-82.0415224,28.858489,Point,2024-12-29T21:46:58Z,http://maps.google.com/?cid=9293901492887075719,"Wildwood antiques mall, 364 Shopping Center Dr, Wildwood, FL 34785, United States",US,Old Camera Store,Feature,
-81.3646013,28.5525896,Point,2024-12-29T21:46:54Z,http://maps.google.com/?cid=10122910702922101801,"634 N Mills Ave, Orlando, FL 32803, United States",US,Colonial Photo & Hobby Inc,Feature,
-73.9963276,40.7529444,Point,2024-12-29T21:46:50Z,http://maps.google.com/?cid=796508400803676962,"420 9th Ave, New York, NY 10001, United States",US,B&H Photo Video - Electronics and Camera Store,Feature,
-73.9940933,40.7393143,Point,2024-12-29T21:46:45Z,http://maps.google.com/?cid=10013391921598649717,"42 W 18th St, New York, NY 10011, United States",US,Adorama,Feature,
-73.9908401,40.7166236,Point,2024-12-29T21:46:40Z,http://maps.google.com/?cid=14495550312293234448,"54 Orchard St, New York, NY 10002, United States",US,K&M Camera,Feature,
-74.8830804,40.1358339,Point,2024-12-29T21:46:35Z,http://maps.google.com/?cid=11799459006980439810,"4401 New Falls Rd, Levittown, PA 19056, United States",US,Allen's Camera,Feature,
-76.321796,40.0758919,Point,2024-12-29T21:46:31Z,http://maps.google.com/?cid=14978774531169550041,"1953 Fruitville Pike, Lancaster, PA 17601, United States",US,Perfect Image Camera,Feature,
-2.5929107,51.4547958,Point,2024-12-29T21:46:28Z,http://maps.google.com/?cid=6927238898883507506,"47 High St, Bristol BS1 2AZ, United Kingdom",GB,Bristol Cameras,Feature,
-2.603814,51.440831,Point,2024-12-29T21:46:24Z,http://maps.google.com/?cid=10257655800227567373,"53 North St, Bedminster, Bristol BS3 1EN, United Kingdom",,Photographique,Feature,
-79.3949207,43.647481,Point,2024-12-29T21:46:19Z,http://maps.google.com/?cid=7499330794615235204,"in the back of CineCycle down the lane and around the back of, the building, 129 Spadina Ave., Toronto, ON M5A 1J7, Canada",,Niagara Custom Lab,Feature,
-79.4640639,43.6692346,Point,2024-12-29T21:46:14Z,http://maps.google.com/?cid=1363027431842262851,"42 Cawthra Ave, Toronto, ON M6N 5B3, Canada",,Frame Discreet,Feature,
-81.9292303,34.9672035,Point,2024-12-29T21:46:09Z,http://maps.google.com/?cid=13415256609797299845,"108 Garner Rd, Spartanburg, SC 29303, United States",US,Spartan Photo Center,Feature,
-71.0566918,42.350724,Point,2024-12-29T21:46:05Z,http://maps.google.com/?cid=4356303936888521881,"727 Atlantic Ave, Boston, MA 02111, United States",,Colortek of Boston,Feature,
-71.0691867,42.4437264,Point,2024-12-29T21:46:01Z,http://maps.google.com/?cid=9626275461837151182,"100 Main St, Melrose, MA 02176, United States",US,Dorian Color Lab,Feature,
-157.861414,21.298467,Point,2024-12-29T21:45:57Z,http://maps.google.com/?cid=18353650135125372688,"675, 215 Auahi St E3, Honolulu, HI 96813, United States",US,Treehouse,Feature,
-49.2727502,-25.4303097,Point,2024-12-29T21:45:52Z,http://maps.google.com/?cid=14360742736959290158,"R. Cândido Lopes, 34 - Centro, Curitiba - PR, 80020-060, Brazil",BR,Yamasaki Photographic Productions - Digital Revelation,Feature,
-122.6331202,45.5306026,Point,2024-12-29T21:45:45Z,http://maps.google.com/?cid=11643509509760743700,"3070 NE Sandy Blvd, Portland, OR 97232, United States",,Citizens Photo,Feature,
-122.6904256,45.5310049,Point,2024-12-29T21:45:42Z,http://maps.google.com/?cid=15174059797360262378,"1112 NW 19th Ave, Portland, OR 97209, United States",US,Pro Photo Supply,Feature,
-122.689953,45.531526,Point,2024-12-29T21:45:38Z,http://maps.google.com/?cid=6593911636967158248,"1815 NW Northrup St #2, Portland, OR 97209, United States",,Pro Photo Supply Photo Lab,Feature,
-122.3405711,47.623084,Point,2024-12-29T21:45:34Z,http://maps.google.com/?cid=3235312078464968223,"811 Republican St, Seattle, WA 98109, United States",US,Glazer's Camera,Feature,
-73.911137,40.6835998,Point,2024-12-29T21:45:30Z,http://maps.google.com/?cid=746110253718305072,"1717 Broadway #310, Brooklyn, NY 11207, United States",US,photodom. NYC,Feature,
-82.996305,40.023203,Point,2024-12-29T21:45:27Z,http://maps.google.com/?cid=7642355257947975147,"2887 Silver Dr, Columbus, OH 43211, United States",US,Midwest Photo,Feature,
-117.9071908,33.8150377,Point,2024-12-29T21:45:23Z,http://maps.google.com/?cid=14946963889353630324,"1347 S Anaheim Blvd, Anaheim, CA 92805, United States",,CAMERA TECH OF ANAHEIM DIGITAL REPAIR,Feature,
-86.2996161,32.3578036,Point,2024-12-29T21:45:20Z,http://maps.google.com/?cid=7894194054424419698,"1717 Norman Bridge Rd, Montgomery, AL 36104, United States",,Indie Film Lab,Feature,
-118.2973431,34.0471239,Point,2024-12-29T21:45:16Z,http://maps.google.com/?cid=12244698541682892835,"2692 W Pico Blvd, Los Angeles, CA 90006, United States",,J&F Photo Lab Inc.,Feature,
-118.1909523,34.0361363,Point,2024-12-29T21:45:12Z,http://maps.google.com/?cid=4176744310186503758,"3543 1st St, Los Angeles, CA 90063, United States",US,FranksProductions 30 Min Foto,Feature,
-118.1264294,33.8325255,Point,2024-12-29T21:45:06Z,http://maps.google.com/?cid=2451886540793448197,"5467 E Carson St, Long Beach, CA 90808, United States",US,Tuttle Cameras,Feature,
-96.6488311,32.864427,Point,2024-12-29T21:44:57Z,http://maps.google.com/?cid=7142468541880182639,"1401 Northwest Hwy #101, Garland, TX 75041, United States",,Garland Camera Repair & Photographic Imaging,Feature,
-93.294616,37.1680745,Point,2024-12-29T21:44:52Z,http://maps.google.com/?cid=1203074990236482703,"2550 S Campbell Ave, Springfield, MO 65807, United States",US,Bedford Camera & Video,Feature,
-92.3998231,34.772634,Point,2024-12-29T21:44:46Z,http://maps.google.com/?cid=12922170475297399526,"11400 N Rodney Parham Rd, Little Rock, AR 72212, United States",US,Bedford Camera & Video,Feature,
-97.5650539,35.5010364,Point,2024-12-29T21:44:42Z,http://maps.google.com/?cid=3830094866354871286,"3110 N May Ave, Oklahoma City, OK 73112, United States",US,Bedford Camera & Video,Feature,
-94.6666716,38.9710827,Point,2024-12-29T21:44:36Z,http://maps.google.com/?cid=15897003915639461249,"8701 Metcalf Ave, Overland Park, KS 66212, United States",US,Bedford Camera & Video,Feature,
-105.26262,40.021149,Point,2024-12-29T21:44:33Z,http://maps.google.com/?cid=18264196558540107572,"2500 Pearl St, Boulder, CO 80302, United States",US,Mike's Camera Inc. Boulder,Feature,
-104.9399638,39.6881379,Point,2024-12-29T21:44:28Z,http://maps.google.com/?cid=2299972665264478368,"1550 S Colorado Blvd #109, Denver, CO 80222, United States",US,Mike's Camera Inc. Denver,Feature,
-104.9883333,39.6108333,Point,2024-12-29T21:44:24Z,http://maps.google.com/?cid=6824755918402438504,"5855 S Broadway, Littleton, CO 80121, United States",US,Englewood Camera,Feature,
-104.8808809,39.5651069,Point,2024-12-29T21:44:05Z,http://maps.google.com/?cid=17428247569144421560,"9197 East Westview Rd, Lone Tree, CO 80124, United States",US,Mike's Camera Inc Lone Tree,Feature,
-84.309923,33.8380437,Point,2024-12-29T21:42:45Z,http://maps.google.com/?cid=16995751335739657521,"3100 Briarcliff Rd NE #2694, Atlanta, GA 30329, United States",US,Wing's Camera & Digital,Feature,
